name,power,share
Coinbase Custody,42595704801729,0.156290969142
Upbit Staking,15084324989249,0.055346983514
Cosmostation,12714809918830,0.046652825066
Everstake,10506069597104,0.038548576831
Kraken01,9243427564781,0.033915725987
Kiln (legacy - please redelegate),8989719730072,0.032984828294
DokiaCapital,8634083452923,0.031679937609
Binance Node,8442112574157,0.030975563427
Ledger by Chorus One,8126342842443,0.029816949956
Allnodes,6665294663885,0.024456112828
SG-1,6502688868038,0.023859484189
CloudByte,5589431054050,0.020508584151
Chorus One,5247382981522,0.019253550926
P2P.org,5141138607459,0.018863722039
Blockdaemon,4666803710740,0.017123305698
Informal Systems,4391344444130,0.016112598259
🐠stake.fish,4361085924098,0.016001574543
Nansen | Stake to Stack Points,4353267304344,0.015972886682
Figment,4319865230787,0.015850328727
GAME,3995913883842,0.014661695502
Keplr,3417645579870,0.012539929609
Sikka,3231126934776,0.011855560611
Kiln,3213373662404,0.011790420801
Imperator.co,2917236923018,0.010703844156
OKXEarn,2698328065328,0.009900629896
Provalidator,2690181395734,0.009870738364
Swiss Staking,2457545345247,0.009017156671
BouBouNode,2438694853913,0.008947990975
PRYZM | StakeDrop,2371222946201,0.008700424938
NO! Fee to 2025 💸 | melea.xyz,2263979698176,0.008306931011
POSTHUMAN 🧬 StakeDrop,2181340600752,0.008003713945
Stakecito,2129040627629,0.007811816346
Binance Staking,2036563122771,0.007472500471
PRO Delegators,1983669013992,0.007278422886
CoinoneNode,1813396654455,0.006653664304
iqlusion,1737796015323,0.006376272553
Citadel.one,1683575734408,0.006177329014
NodeStake,1579813455292,0.005796607361
 polkachu.com,1548962204182,0.005683408813
StakeLab.zone,1397212943187,0.005126614667
Trust Nodes,1387872923119,0.005092344527
Factor,1341413675990,0.004921877556
Stakely.io,1199600484178,0.004401540557
Meria,1194644981540,0.004383357966
 Lavender.Five Nodes 🐝,1193698722073,0.004379885977
Kahuna,1128075843799,0.004139104347
HighStakes.ch | Daily Airdrops,932112160127,0.003420079877
Enigma,883924739988,0.003243271943
CEX.IO Validator,840892359185,0.003085378734
Ubik Capital,829321439753,0.003042923040
🛡️Bunkerstake.io,802904502056,0.002945994751
DKCMC,800168655709,0.002935956460
ShapeShift DAO,783282983764,0.002874000025
Stake Shark,769389752719,0.002823023370
Twinstake,752709833075,0.002761821875
Simply Staking,744917866442,0.002733231809
The_Cybernetics,742373316103,0.002723895416
S16 Research Ventures,685209237052,0.002514150575
✅ CryptoCrew Validators,676249619201,0.002481276196
BlockHunters 🎯,653494968527,0.002397785468
Smart Stake 📈📊,614292043252,0.002253943190
WhisperNode 🤐,609770940608,0.002237354487
Binary Builders,606084680626,0.002223828965
Coinbase,603592272825,0.002214683892
Interstellar 🍸,580591872776,0.002130291467
MANTRA,572975541425,0.002102345837
ECO Stake 🌱 | REStake.app,571052121330,0.002095288478
Leap Wallet,567933104752,0.002083844269
Forbole,554316295059,0.002033881852
Node Guardians,553768070029,0.002031870320
cosmosrescue,541634798277,0.001987351258
Golden Ratio Staking,539878748239,0.001980908009
IcyCRO 🧊,523813462522,0.001921961712
Stakin,521259328493,0.001912590154
stakezone,518149032682,0.001901177944
CryptoDungeon,502689955301,0.001844455929
0base.vc,487091074785,0.001787220953
Quasar 🤖🧬🧠,470685016745,0.001727024304
01node,458759495745,0.001683267516
CroutonDigital,452345881041,0.001659734860
🇨🇭 Vortex.live 🟢,440992966362,0.001618079063
InfStones,436885808759,0.001603009195
Cryptostake.com 🇨🇭🇺🇦,433160673666,0.001589341033
Crosnest,431590413403,0.001583579478
Oldcat - airdrop DHK every month,409533735042,0.001502649731
🐱biglazycat.com,409339226213,0.001501936044
Dora Factory PGS,403672876949,0.001481145234
Stir,382602348619,0.001403833841
Moonlet,378478465986,0.001388702606
node101,368011153281,0.001350296235
WeStaking,360938300407,0.001324344721
Citizen Web3,346001404865,0.001269538681
Silk Nodes,345648010855,0.001268242018
Vitwit (Previously Witval),337509690400,0.001238381120
Cosmic Validator | 100% Uptime & Auto-compound,327837149941,0.001202890905
GATA HUB,315506598370,0.001157647990
Bro_n_Bro stake and win NFT lottery.bronbro.io 100% Slash-protected,309240530417,0.001134656708
Stakewolle.com |100% Insurance,304277965365,0.001116448203
Frens (🤝 🤝),302678017842,0.001110577721
Blockpower,293071418724,0.001075329456
Onbloc Node,292810081991,0.001074370566
stake.systems | autocompound,278064339123,0.001020265899
interchain.FM🥩,269590575537,0.000989174202
Blocks United | blocksunited.com,260206956329,0.000954744089
KalpaTech,257987576059,0.000946600801
Sygnum,251727798398,0.000923632600
Nodeify,251035069032,0.000921090857
MultiChain ventures,241245086309,0.000885169726
SolidarityNode,237677440576,0.000872079420
Chill Validation,235688254618,0.000864780754
jabbey,231805517219,0.000850534323
IRISNET,230395268038,0.000845359876
Cosmos Spaces,227977612368,0.000836489081
Stake&Relax 🦥,223292594748,0.000819298946
TTT VN,219723077266,0.000806201772
a41,207704164057,0.000762102312
Huginn,207420908389,0.000761062998
DSRV,200068702913,0.000734086491
w3coins,192374253352,0.000705854232
Colossus,190633259447,0.000699466226
EthicalNode,187086657979,0.000686453135
FreshSTAKING,187003250185,0.000686147097
Easy 2 Stake,182150462867,0.000668341386
