owner,validators,effective_balance_gwei,share
eth1:0xb9d7934878b5fb9610b3fe8a5e441e8fad7e293f,264149,8452768000000000,0.236726140806
unknown,5120,3395647000000000,0.095097654384
eth1:0x8e609ac80f4324e499a6efd24f221a2caa868224,88877,2844064000000000,0.079650156603
eth1:0xe839a3e9efb32c6a56ab7128e51056585275506c,17275,552800000000000,0.015481580784
eth1:0x2bf916f8169ed2a77324d3e168284fc252ae4087,11934,381888000000000,0.010695061365
eth1:0x7e2a2fa2a064f693f0a55c5639476d913ff12d05,11900,380800000000000,0.010664591104
eth1:0x210b3cb99fa1de0a64085fa80e18c22fe4722a1b,11729,375328000000000,0.010511343619
eth1:0x0afd81862eea47322cf85db39d3d07e8a3c25154,11360,363520000000000,0.010180651676
eth1:0x6be457e04092b28865e0cba84e3b2cfa0f871e67,9683,309856000000000,0.008677750896
eth1:0xd4e11c28e04c0c2bf370b7a9989498b7ea02493f,7746,247872000000000,0.006941842243
eth1:0xb23c002bc65c6bb539aad4c11d606ef4f5502c93,6699,214368000000000,0.006003537463
eth1:0x8696e84ab5e78983f2456bcb5c199eea9648c8c2,6404,204928000000000,0.005739163146
eth1:0x08ec37e2eb451ab6fb29fc14d215b0aeef170040,5768,184576000000000,0.005169190041
eth1:0x1ed8b3e4278184675fefa6981dea36f4535df417,5396,172672000000000,0.004835809546
eth1:0x51b4096d4bde1b883f6d6ca3b1b7eb54dc20b913,5195,166240000000000,0.004655676537
eth1:0xac0f906e433d58fa868f936e8a43230473652885,5144,164608000000000,0.004609971146
eth1:0x3262f13a39efaca789ae58390441c9ed76bc658a,4723,151136000000000,0.004232677629
eth1:0xed20e72c966da53c6ac5bbcb0ad16ac9f25b8ab0,4659,149088000000000,0.004175321845
eth1:0xe887312c0595a10ac88e32ebb8e9f660ad9ab7f7,4303,137696000000000,0.003856280296
eth1:0x6b59fd2c47b6617db67f797c4661c2f3adb418f1,3802,121664000000000,0.003407292049
eth1:0x4b5e9a6ab1b87d4df850178ad2807c1e3e3ba33e,3364,107648000000000,0.003014763401
eth1:0x0b26c05866e6353e46f4a7e2d10cb42d4b583e57,3261,104352000000000,0.002922456436
eth1:0xb5f70006b1eafe8bd6d706b509b64b6e8571f41a,3234,103488000000000,0.002898259465
eth1:0xae0e8770147aaa6828a0d6f642504663f10f7d1e,3150,100800000000000,0.002822979998
eth1:0xba1951df0c0a52af23857c5ab48b4c43a57e7ed1,3136,100352000000000,0.002810433420
eth1:0x116ba62f273a0859b9b29bbe4adc310c749a5e9f,2934,93888000000000,0.002629404227
eth1:0x0f3a1bfd2a873c36bae8a7d442247fe4b8b88a69,2766,88512000000000,0.002478845294
eth1:0x8306300ffd616049fd7e4b0354a64da835c1a81c,2656,84992000000000,0.002380265040
eth1:0xd007058e9b58e74c33c6bf6fbcd38baab813cbb6,2650,84800000000000,0.002374887935
eth1:0xd4a24fe19b5e0ed77137012b95b4433293e2ff8e,2642,84544000000000,0.002367718462
eth1:0xd7c612e7b9ed0260b80ab1ab76d63d57390de46e,2430,77760000000000,0.002177727427
eth1:0x93dbf616676d22ebd0db51c5ebb6f69ea1f9bc8b,2281,72992000000000,0.002044195992
eth1:0xda3a73f0e56b6f97204031f278f43d2175b6f50d,2250,72000000000000,0.002016414284
eth1:0xf0b0d3ef9a0a8162abe874b126ee63319384c5f5,2208,70656000000000,0.001978774551
