name,entity_type,validators,effective_balance_gwei,share
Kraken,None,229032,7329024000000000,0.096140881703
Everstake,None,115326,3690432000000000,0.048410454972
P2P.org,None,114480,3663360000000000,0.048055329113
Allnodes,None,94320,3018240000000000,0.039592755432
Bitcoin Suisse,None,78357,2507424000000000,0.032891958624
Kiln,None,77308,2473856000000000,0.032451619349
Stakefish,None,72774,2328768000000000,0.030548379812
Twinstake,None,66936,2141952000000000,0.028097759517
HashKey Cloud,None,55216,1766912000000000,0.023178049024
A41,None,54480,1743360000000000,0.022869097922
InfStones,None,52915,1693280000000000,0.022212157058
Consensys,None,51958,1662656000000000,0.021810436670
Ebunker,None,48912,1565184000000000,0.020531815667
ChainSafe,None,47636,1524352000000000,0.019996188484
DSRV,None,44668,1429376000000000,0.018750309581
DARMA Capital,None,41343,1322976000000000,0.017354572602
Gateway.fm,None,37792,1209344000000000,0.015863967486
ParaFi Technologies,None,37011,1184352000000000,0.015536126710
Figment,None,36648,1172736000000000,0.015383750012
Chorus One,None,36535,1169120000000000,0.015336315943
Blockdaemon,None,33773,1080736000000000,0.014176909767
Stakely,None,33641,1076512000000000,0.014121500058
RockX,None,32945,1054240000000000,0.013829339777
Pier Two Infrastructure,None,32864,1051648000000000,0.013795338364
Stakin,None,32624,1043968000000000,0.013694593440
Kukis Global,None,30728,983296000000000,0.012898708534
Attestant,None,30728,983296000000000,0.012898708534
Solstice,None,30728,983296000000000,0.012898708534
Sigma Prime,None,30728,983296000000000,0.012898708534
ChainLayer,None,30727,983264000000000,0.012898288763
RockawayX Infra,None,29722,951104000000000,0.012476419391
RockLogic GmbH,None,29718,950976000000000,0.012474740309
Launchnodes,None,29190,934080000000000,0.012253101474
Galaxy,None,27486,879552000000000,0.011537812509
Blockscape,None,24069,770208000000000,0.010103456642
Simply Staking,None,23819,762208000000000,0.009998514012
SenseiNode,None,23190,742080000000000,0.009734478355
Staking Facilities,None,22279,712928000000000,0.009352067412
Develp GmbH,None,20730,663360000000000,0.008701842877
Numic,None,17982,575424000000000,0.007548313488
Node.Monster,None,17964,574848000000000,0.007540757619
Ether.Fi Obol DVT,None,17076,546432000000000,0.007168001397
Prysm Team at Offchain Labs,None,16910,541120000000000,0.007098319491
Luganodes,None,16844,539008000000000,0.007070614636
Golem Foundation,None,15680,501760000000000,0.006582001751
markobarko.eth,None,14748,471936000000000,0.006190775627
Validation Cloud,None,14161,453152000000000,0.005944370332
Nethermind,None,13454,430528000000000,0.005647592574
Gemini,None,13039,417248000000000,0.005473387808
Chainnodes,None,10815,346080000000000,0.004539818172
Coinbase Cloud,None,10422,333504000000000,0.004374848358
Pier Two,None,10098,323136000000000,0.004238842709
SSV DVT,None,9910,317120000000000,0.004159925852
Ether.Fi Obol DVT 2,None,9040,289280000000000,0.003794725499
Cosmostation,None,8759,280288000000000,0.003676769983
Finoa Consensus Services,None,8078,258496000000000,0.003390906259
EtherNodes,None,7550,241600000000000,0.003169267425
NSSO,None,5993,191776000000000,0.002515684725
Bloxstaking,None,4877,156064000000000,0.002047220825
CSM Operator 304,None,3565,114080000000000,0.001496481903
DVT Solostakers,None,3360,107520000000000,0.001410428947
ChainUp Cloud,None,3170,101440000000000,0.001330672548
SSV - Celestial Cyclops,None,2500,80000000000000,0.001049426300
NO - 0x30e3056a42d84f9998f3cfc57db63373fc882b26 - Stader,None,2500,80000000000000,0.001049426300
Anyblock Analytics,None,2300,73600000000000,0.000965472196
NO - 0x17fa597cec16ab63a7ca00fb351eb4b29ffa6f46,None,2223,71136000000000,0.000933149866
NO - 0x287a041489a735e51224229a9f997620c4f48c6b,None,2038,65216000000000,0.000855492319
SSV - Dreamy Draugr,None,2000,64000000000000,0.000839541040
Obol - Bold Banshee,None,2000,64000000000000,0.000839541040
SSV - Enigmatic Ent,None,2000,64000000000000,0.000839541040
Obol - Arctic Amarok,None,2000,64000000000000,0.000839541040
SSV - Blazing Basilisk,None,2000,64000000000000,0.000839541040
Obol - Ethereal Elf,None,2000,64000000000000,0.000839541040
SSV - Arid Anubis,None,2000,64000000000000,0.000839541040
Obol - Divine Dragon,None,2000,64000000000000,0.000839541040
CSM Operator 333,None,1875,60000000000000,0.000787069725
XHash,None,1851,59232000000000,0.000776995232
NO - 0xba2510034fbeedb19f9c3fef58d96e7e9b4d92d3,None,1800,57600000000000,0.000755586936
CSM Operator 346,None,1800,57600000000000,0.000755586936
NO - 0xca317a4eccbe0dd5832de2a7407e3c03f88b2cdd,None,1760,56320000000000,0.000738796115
Stakely-2,None,1650,52800000000000,0.000692621358
Stakin2,None,1500,48000000000000,0.000629655780
NO - 0xb81e87018ec50d17116310c87b36622807581fa6,None,1396,44672000000000,0.000585999646
NO - 0x5b2c08eb8533e537119ecba829bb0dc4e100dc2c,None,1344,43008000000000,0.000564171579
snc.xyz,None,1340,42880000000000,0.000562492497
HashQuark,None,1282,41024000000000,0.000538145806
NO - 0x126beae9f195016015560517b388212d42668e4f - Stader,None,1280,40960000000000,0.000537306265
NO - 0xd5c4d2d852a75b54daf2138492b2e1f25a36fabe,None,1248,39936000000000,0.000523873609
NO - 0xd1128f5fc38acf5c35c356a52973e7c6074efe23,None,1224,39168000000000,0.000513799116
NO - 0xfd0166b400ead071590f949c6760d1ccc1afc967,None,1206,38592000000000,0.000506243247
NO - 0x66283163acab1bb1af6b6ce7e05e1c81e1328e32,None,1156,36992000000000,0.000485254721
CryptoManufaktur,None,1107,35424000000000,0.000464685965
Obol - Cunning Chimera,None,1000,32000000000000,0.000419770520
NO - 0xcd1e342d781d53712182d640165e199d40c12b29 - Puffer,None,1000,32000000000000,0.000419770520
Jump Crypto,None,1000,32000000000000,0.000419770520
NO - 0x63db44d01a479a8d3c6a9ef5969031c41191edb4 - Puffer,None,980,31360000000000,0.000411375109
CSM Operator 20,None,968,30976000000000,0.000406337863
CSM Operator 105,None,956,30592000000000,0.000401300617
CSM Operator 240,None,855,27360000000000,0.000358903794
NO - 0x765f6eeac5c5b555191c15e01cc0b3cf88073ca3 - Stader,None,850,27200000000000,0.000356804942
cryptonative.systems,None,845,27040000000000,0.000354706089
NO - 0x6b7468504757a4918a96078f352572d172115263 - Stader,None,832,26624000000000,0.000349249073
NO - 0x84ba027280cc6cc1e592a01270c5f21a494f46cb,None,828,26496000000000,0.000347569990
CSM Operator 144,None,815,26080000000000,0.000342112974
NO - 0x3f68d194852fb0e6f121d0703d2e3f78931d92fb - Stader,None,810,25920000000000,0.000340014121
NO - 0x0af3ce40223cd1bb54bbd517c52b66489e673a9e,None,800,25600000000000,0.000335816416
NO - 0x9a8dc6dcd9fdc7efadbed3803bf3cd208c91d7c1,None,782,25024000000000,0.000328260547
NO - 0xd91eecc267ff626399798040d88de62c9e70acf0,None,774,24768000000000,0.000324902382
NO - 0x86c4c582215bb0ec70310c6ae971f33772cb0e59,None,770,24640000000000,0.000323223300
CSM Operator 422,None,765,24480000000000,0.000321124448
Serenita,None,756,24192000000000,0.000317346513
Prysm Client Team,None,720,23040000000000,0.000302234774
NO - 0x6bbba538c14d36ee92dd3941afe52736c5cfb842,None,684,21888000000000,0.000287123036
NO - 0xb8ed9ea221bf33d37360a76ddd52ba7b1e66aa5c,None,678,21696000000000,0.000284604412
NO - 0xf0e52218a721bec51cffc3afc8e3bbb9efbc8293,None,665,21280000000000,0.000279147396
CSM Operator 282,None,648,20736000000000,0.000272011297
